"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"FUN_Cycloseris_cyclolites",-101.826831696512,39.1366079731172,-21.1938693274335,-28.4001189415919,32.738633378045
"FUN_Cycloseris_tenuis",-105.235370050909,38.9916248681992,-18.4628534987929,-32.1965820784359,34.805829658788
"FUN_Cycloseris_mokai",-102.821580604175,44.4480246911963,-19.6121331613218,-35.276346336072,34.8340650176476
"FUN_Cycloseris_fragilis",-101.238250880028,42.5923878363545,-16.6498079470829,-30.127130860496,33.2912748351023
"FUN_Cycloseris_vaughani",-105.641806117439,45.4736463101469,-17.4503637004204,-35.5981760826409,35.0557591135941
"FUN_Cycloseris_costulata",-94.6037548337646,43.3993978378018,-13.2281648803036,-28.8329174731865,27.1353584006416
"FUN_Cycloseris_sinensis",-98.4580029274432,40.6351679621739,-13.3310705599815,-30.5724814130749,28.5860186894547
"FUN_Ctenactis_crassa",-72.9278397842562,35.9670455141329,0.0237185957761152,-23.8629636977322,32.0735152631029
"FUN_Ctenactis_albitentaculata",-72.5608658690653,41.8066099169658,-2.71742710846423,-25.4711923099585,21.9763365711252
"FUN_Ctenactis_echinata",-71.3590298050187,40.7333192489225,-2.74044439755609,-25.7350633297337,23.0937640522595
"FUN_Herpolitha_limax",-73.9346189692755,43.3918398234237,-20.8739126900119,-29.1144365258012,10.9942326273361
"FUN_Polyphyllia_talpina",-65.6795043000228,45.3700917160515,-13.190986248038,-27.2582283435223,15.6116403298467
"FUN_Lithophyllon_concinna",-17.1854464125603,36.2717944950456,3.27769631310189,-20.1270048572968,11.2979102238469
"FUN_Lithophyllon_repanda",-23.1741045680322,41.0530451677923,-0.491927001729516,-23.6912297611409,12.1655936925621
"FUN_Lithophyllon_spinifer",-50.9825759227528,57.680800025188,-40.5184742525614,-24.8948985100259,-0.830820655534861
"FUN_Lithophyllon_scabra",-36.2120032408855,52.0566150315621,-33.8533917791199,-16.5508163704264,-1.64254834929867
"FUN_Lithophyllon_undulatum",-36.4221565314476,56.3825340470399,-39.8039330202842,-14.5679700127228,-5.10969015901505
"FUN_Heliofungia_fralinae",-85.518978559255,58.8693689284477,-7.56297824280221,-56.2975359998069,24.7976864397399
"FUN_Heliofungia_actiniformis",-44.3507077979306,76.4245841628873,-3.84067079122333,-23.9724854615587,4.80256255738655
"FAV_Leptastrea_transversa",-51.3672395355967,71.4949617425111,-7.40158908403763,-32.4984182172775,14.7331043158659
"FAV_Leptastrea_pruinosa",-51.6373344135934,71.3465849966761,-3.01757980549063,-28.9596971561074,17.2223681315493
"FAV_Leptastrea_purpurea",-54.1799108212127,73.4878446450021,-5.97476297649633,-27.0866470797443,18.2203646818193
"FUN_Lobactis_scutaria",-69.3145200434931,53.9290665158262,-2.88555627033608,-25.238969129804,19.3407163595323
"FUN_Halomitra_pileus",-58.5290177087648,68.4245812087272,-2.57325536097555,-29.9338401545967,18.340285820203
"FUN_Halomitra_clavator",-66.2778795311361,58.2123430920517,0.484471384856557,-29.6487581696341,20.5900421418321
"FUN_Danafungia_scruposa",-62.7439285298261,54.2628069430386,5.32367288639779,-25.7320334146562,22.5081865936084
"FUN_Fungia_fungites",-53.5206374378969,54.2935921257312,13.8232577627192,-30.9592812748755,23.8741161459996
"FUN_Podabacia_motuporensis",-29.7005932687091,46.8242757898892,28.0419914914506,-14.5727075998763,18.3675141893067
"FUN_Podabacia_crustacea",-15.4853967297622,53.9096129817052,10.4361708426002,-5.42385644390918,8.2560879254246
"FUN_Sandalolitha_dentata",-13.3526807033363,52.8801371182116,5.79308493301249,-6.04094492382395,6.26770419487263
"FUN_Sandalolitha_robusta",-17.7561949083082,53.4291710871686,8.36887125725498,-6.18600383645925,9.85053930784178
